season,week,celebrity_name,fan_votes_mean,fan_votes_std,fan_votes_ci_lower,fan_votes_ci_upper,fan_votes_median
19,9,Lea Thompson,934374.134024816,91698.86499262117,740112.1905313382,1109010.4438442965,932215.2071579769
19,9,Janel Parrish,2303063.522747394,229938.79293537154,1871275.5909751926,2769175.6608553994,2300547.4933808455
19,9,Alfonso Ribeiro,2301602.717757052,223390.7102781503,1859906.802703731,2745112.4134989255,2301013.1317229597
19,9,Tommy Chong,894003.9570643783,90157.0751843438,722819.4205928631,1072199.222726974,896997.2952308571
19,9,Bethany Mota,1948376.4393762592,195872.25281480883,1580999.106264541,2320955.612047335,1942116.792764683
19,9,Sadie Robertson,1602973.241437595,155343.90240270193,1303047.5426664625,1890237.3881182272,1599530.837655786
19,10,Janel Parrish,2662329.5381238996,273860.98428150255,2147520.504703925,3195135.9377170303,2679655.4313931223
19,10,Alfonso Ribeiro,2205532.7170239897,237239.92020763896,1703511.905386745,2666266.984162897,2215143.302251548
19,10,Tommy Chong,1209858.9848190132,118423.78684361107,992403.6404140615,1450779.8708694628,1207874.7991386391
19,10,Bethany Mota,2216974.2080646614,227631.98816897237,1783781.5292227117,2638135.4522934975,2216294.763950573
19,10,Sadie Robertson,1720866.219690203,175476.8829943301,1363198.6491123035,2063346.58053069,1713945.7143894304
19,11,Janel Parrish,2496235.73593257,246340.18676015208,2030399.6617919002,2959719.682857768,2502718.024432156
19,11,Alfonso Ribeiro,3205279.389209341,319852.6985012437,2590657.8930075206,3812763.446900952,3202040.6682956554
19,11,Bethany Mota,1809673.2275564247,177247.12336038362,1473952.1852609045,2145508.7143961024,1811763.322799656
19,11,Sadie Robertson,2494597.7196182916,249987.50616780258,2012057.8341217167,2997404.098528195,2501682.2065463234
20,2,Suzanne Somers,707046.0987405028,69639.09336685808,573292.5752327316,848746.4791709998,702558.0767166554
20,2,Willow Shields,1014655.0771347194,101613.22323267277,815371.8921911068,1194067.3425751317,1023402.5994886385
20,2,Riker Lynch,1304709.6626011524,131266.10176064266,1025087.4745378044,1542282.7750417804,1307405.0337471068
20,2,Rumer Willis,1302016.163098736,133628.52235906708,1033992.3776534421,1559971.4690405854,1302547.0563515336
20,2,Nastia Liukin,1217613.7178285765,132700.41389608497,957249.2301790841,1466903.9886166214,1210237.1856544279
20,2,Michael Sam,709239.9708175848,69323.17834586225,576934.4106322778,859034.440171929,706435.9354164931
20,2,Robert Herjavec,809919.2401597183,76826.23154418998,660927.0841969851,953462.7536694306,811728.9378865773
20,2,Charlotte McKinney,408915.00336524524,41688.48954425395,324585.71099916025,496338.9322561085,407514.75930845644
20,2,Noah Galloway,900239.5757173031,87657.33602035425,723636.2684902198,1072323.4781402838,900999.8187992898
20,2,Redfoo,438318.1360237939,44322.15328782202,356516.8843459691,520128.45124968793,440918.9144152413
20,2,Patti LaBelle,711023.2188751139,73374.18588420983,571116.9934649094,850387.9406497793,712678.6356899508
20,2,Chris Soules,487510.2050113503,46765.29998380326,389499.11982076283,579701.5834346496,487200.68552291434
20,3,Suzanne Somers,610927.680270306,63384.75631856533,486595.0307489516,740088.5865302244,609741.6633918148
20,3,Willow Shields,1003148.1680001803,96721.31244467846,804892.5229536827,1190797.5101575123,1004316.1456477328
20,3,Riker Lynch,1489231.4272700176,146111.42493721237,1170351.6223097467,1775039.6913056525,1490455.1726245875
20,3,Rumer Willis,1361984.230709074,130498.04308108967,1102483.3951281914,1599906.3110627024,1369328.936903275
20,3,Nastia Liukin,1388304.965611871,130111.8506083071,1138793.0339328623,1642717.5285652066,1383817.8369587965
20,3,Michael Sam,608292.6557941077,61526.510065567105,485365.3111451982,722632.2055146494,610020.6852191845
20,3,Robert Herjavec,873708.828872449,87396.61750809391,690903.795768349,1039316.681434405,875313.8892504203
20,3,Charlotte McKinney,357118.2588279076,35141.80344039004,285237.5488572195,422715.0657347631,358502.1790702496
20,3,Noah Galloway,1112551.7427710784,104105.46982328073,884433.7653988545,1305057.0602043543,1115710.9847214187
20,3,Patti LaBelle,473558.79809637845,45373.89132765333,392797.6266632751,568833.41824455,473374.6773148546
20,3,Chris Soules,744616.3909635487,70802.19149450937,601024.4833703766,876729.522344344,742283.8951102416
20,4,Suzanne Somers,552549.202727081,53895.15271795792,448573.58401982,651470.8798503788,554870.0675300221
20,4,Willow Shields,1287805.3072915715,128371.10173354426,1026298.1526100439,1525139.800565237,1292532.6789203766
20,4,Riker Lynch,1416366.5190242096,139463.77234614783,1137798.5381198798,1694208.9613165169,1418566.5878438442
20,4,Rumer Willis,1541355.6875205112,157838.88181072226,1238610.5166778958,1845849.4729148245,1537018.5767663268
20,4,Nastia Liukin,1285326.9407420023,130444.63666531727,1032771.882954267,1544986.6915071083,1285678.8981330192
20,4,Michael Sam,563191.0219615354,55806.23340999627,451756.70790627185,679096.4433785112,563391.2933157813
20,4,Robert Herjavec,994235.6255283604,102445.59252804343,813036.5181381754,1197775.449217546,986704.3909803466
20,4,Noah Galloway,1122235.0876097938,111163.33397411648,896729.3918173397,1336052.1208759532,1125068.028526316
20,4,Patti LaBelle,697279.8352970417,67337.1747854174,552588.8793111594,829839.5350387172,696895.8067673477
20,4,Chris Soules,545546.8920732532,53515.62333175815,446770.62840291334,651180.6026380965,545633.0018755691
20,5,Suzanne Somers,688910.9956674633,69930.60310297065,549495.2772747288,827866.5499297745,690355.5755528416
20,5,Willow Shields,1243777.343666733,128111.82401293553,1012419.5507528072,1498602.2101159184,1248194.7165677827
20,5,Riker Lynch,1778299.143944275,174444.4847564188,1440679.2908980888,2134070.2009907938,1787003.8868628396
20,5,Rumer Willis,1785687.5391376393,176442.97324852593,1440745.7095220713,2143096.124855985,1786515.9017570748
20,5,Nastia Liukin,1441858.6939508563,139954.81528219077,1169737.813186231,1744947.0126908286,1436094.1654281293
20,5,Robert Herjavec,664907.5712554046,63308.652957675644,540486.5175179612,787423.8496968994,662883.5310267077
20,5,Noah Galloway,1027926.540206409,99309.7210533375,839342.5109696244,1223285.9646510486,1026791.0248282932
20,5,Patti LaBelle,682307.3387868283,66616.6731888442,548868.4186179811,814038.4563944777,683087.4167720855
20,5,Chris Soules,676177.9184531228,67595.33854899058,536396.7363538833,805724.3966854807,676072.9015656139
20,6,Willow Shields,1258982.5952050292,126249.45330317736,1034866.0412534523,1498112.6512173095,1254228.0481689384
20,6,Riker Lynch,1886029.0787429977,191842.14377537172,1529955.5271081065,2279129.6980841616,1876915.2529148967
20,6,Rumer Willis,1663153.5882567721,167885.54889829573,1335367.1654536247,1987639.1261099183,1659214.4403754328
20,6,Nastia Liukin,1460890.438920447,143584.4533422633,1164539.2629590123,1729289.807197538,1462420.608839837
20,6,Robert Herjavec,823004.4724446385,81518.39850776651,660694.142664543,983989.50549077,822308.6923351531
20,6,Noah Galloway,1233787.7538608767,126328.03781278551,981320.1496049805,1477470.4487802265,1227993.3993199393
20,6,Patti LaBelle,618503.5422336464,59333.161920105886,500498.98893531435,721378.3809118482,621123.9312746194
20,6,Chris Soules,1038431.046026308,103044.24805774022,829561.3426845999,1237453.8025946785,1038451.7294646411
